"Регион";"Дата";"Маркер";"Запросов на млн"
Калининградская область;04.11.2021;лечение коронавируса;258.66575996548687
Калининградская область;25.09.2020;доставка еды на дом;55.56376533175706
Калининградская область;25.11.2020;купить антисептик;1.858024622542298
Калининградская область;21.05.2021;лечение коронавируса;45.55266538871298
Калининградская область;08.04.2020;пульсоксиметр и сатурация;32.18760777100817
Калининградская область;05.05.2022;вторая волна;3.2651835114763035
Калининградская область;27.08.2021;купить маску и респиратор;4.982878828345804
Калининградская область;12.04.2020;сдать тест;92.73758142519542
Калининградская область;07.06.2020;вторая волна;11.778193068140773
Калининградская область;17.05.2021;антитела;206.35811299116526
Калининградская область;30.01.2022;антитела;214.556680511074
Калининградская область;08.06.2020;лечение коронавируса;46.80801962888861
Калининградская область;21.06.2022;вторая волна;0
Калининградская область;18.07.2022;купить маску и респиратор;1.6880543148356342
Калининградская область;05.05.2021;пропало обоняние;28.39069140205655
Калининградская область;15.03.2021;как не заразиться;0
Калининградская область;12.07.2022;что делать если не едет скорая;0.8580060111901144
Калининградская область;14.04.2021;что делать дома;0.9511254667648228
Калининградская область;19.07.2020;доставка еды на дом;88.64808662871327
Калининградская область;18.06.2020;что делать если не едет скорая;0
Калининградская область;31.08.2020;что делать дома;2.3587548133340412
Калининградская область;01.02.2021;купить антисептик;0
Калининградская область;05.06.2022;сдать тест;24.588621668776298
Калининградская область;24.09.2021;сдать тест;246.69567435426242
Калининградская область;05.07.2020;что делать если не едет скорая;0
Калининградская область;28.12.2021;вторая волна;1.8857037257734215
Калининградская область;21.04.2020;купить маску и респиратор;63.842777718331064
Калининградская область;21.06.2021;как не заразиться;0
Калининградская область;05.04.2021;пропало обоняние;28.009989627268357
Калининградская область;25.09.2021;пульсоксиметр и сатурация;100.33444816053512
Калининградская область;21.10.2020;доставка еды на дом;41.279586640314854
Калининградская область;20.12.2020;что делать дома;1.056867950690769
Калининградская область;03.08.2020;сделать КТ;13.74008566943415
Калининградская область;12.01.2021;купить маску и респиратор;9.946102072867133
Калининградская область;06.10.2021;что делать дома;0.84678235407188
Калининградская область;26.10.2020;купить антисептик;4.0517366249641675
Калининградская область;18.08.2020;пропало обоняние;17.263325561000535
Калининградская область;10.10.2020;как не заразиться;0
Калининградская область;25.06.2021;что делать если не едет скорая;2.079490607980669
Калининградская область;17.06.2022;лечение коронавируса;17.02322440676427
Калининградская область;11.09.2021;вызвать скорую;29.304156523268045
Калининградская область;11.09.2020;антитела;57.78141051645747
Калининградская область;29.11.2020;вызвать скорую;24.62650690131088
Калининградская область;20.03.2022;лечение коронавируса;25.31007272752052
Калининградская область;15.02.2022;купить маску и респиратор;3.139086651347924
Калининградская область;08.08.2021;купить антисептик;0
Калининградская область;08.06.2021;доставка еды на дом;63.18102306107341
Калининградская область;06.06.2020;сдать тест;83.9094211332644
Калининградская область;19.01.2021;сдать тест;185.28794328442766
Калининградская область;01.02.2021;лечение коронавируса;76.50026583842379
Калининградская область;29.09.2020;купить маску и респиратор;10.582357728137113
Калининградская область;08.07.2020;как не заразиться;2.3695784046102517
Калининградская область;09.09.2020;вызвать скорую;13.164072613024533
Калининградская область;21.09.2020;пропало обоняние;48.76373335142538
Калининградская область;26.08.2020;лечение коронавируса;34.43206038006108
Калининградская область;19.04.2021;вызвать скорую;15.562400850485204
Калининградская область;10.11.2021;купить антисептик;0.7794627163496203
Калининградская область;12.06.2021;пульсоксиметр и сатурация;40.808889125095384
Калининградская область;22.08.2021;лечение коронавируса;83.7477700722181
Калининградская область;07.01.2022;сделать КТ;4.847281547562496
Калининградская область;24.04.2021;сделать КТ;2.1017697952560956
Калининградская область;02.03.2021;доставка еды на дом;39.38028872475099
Калининградская область;12.03.2021;лечение коронавируса;48.537773747880344
Калининградская область;18.12.2021;пульсоксиметр и сатурация;65.61679790026247
Калининградская область;09.07.2021;сдать тест;505.5320698869304
Калининградская область;24.03.2022;сдать тест;44.68540188073982
Калининградская область;30.03.2020;лечение коронавируса;286.6098651543362
Калининградская область;23.07.2020;пропало обоняние;28.853436564517487
Калининградская область;08.10.2020;как не заразиться;0
Калининградская область;09.07.2021;купить антисептик;1.0466502482131064
Калининградская область;24.07.2020;вызвать скорую;14.31736589102337
Калининградская область;06.05.2021;вызвать скорую;14.541386067812471
Калининградская область;25.09.2020;сделать КТ;13.004285503177185
Калининградская область;04.07.2021;доставка еды на дом;94.91034487607169
Калининградская область;02.07.2020;как не заразиться;0
Калининградская область;22.08.2020;пропало обоняние;22.887146174817406
Калининградская область;14.11.2021;антитела;359.9595657070366
Калининградская область;29.03.2021;купить маску и респиратор;8.350699695848961
Калининградская область;05.03.2021;антитела;208.14897678638016
Калининградская область;16.07.2020;пульсоксиметр и сатурация;24.56724792775264
Калининградская область;25.08.2021;вызвать скорую;20.35236731952538
Калининградская область;15.10.2021;купить антисептик;0.8979264185217078
Калининградская область;08.06.2021;что делать если не едет скорая;0.9430003441951257
Калининградская область;15.01.2021;вызвать скорую;17.085109472838948
Калининградская область;01.04.2021;доставка еды на дом;40.22083151780969
Калининградская область;03.08.2020;сдать тест;218.69636357182688
Калининградская область;03.12.2021;что делать если не едет скорая;0
Калининградская область;19.06.2020;пропало обоняние;15.129584894622441
Калининградская область;04.09.2020;как не заразиться;1.213860342939824
Калининградская область;29.03.2020;купить маску и респиратор;271.35255054367013
Калининградская область;13.08.2021;пульсоксиметр и сатурация;60.944641950228544
Калининградская область;04.06.2021;доставка еды на дом;91.35829150171419
Калининградская область;06.08.2020;вызвать скорую;27.309186810443034
Калининградская область;23.05.2021;вызвать скорую;16.544287598110056
Калининградская область;30.11.2020;купить маску и респиратор;6.575159236267075
Калининградская область;24.09.2021;сделать КТ;10.240197803384477
Калининградская область;05.06.2022;сделать КТ;2.1381410146762
Калининградская область;12.08.2021;купить антисептик;2.016681993449817
Калининградская область;11.12.2020;антитела;291.372821590832
Калининградская область;18.04.2022;купить маску и респиратор;8.02308079884211
Калининградская область;05.08.2020;как не заразиться;0
Калининградская область;25.09.2020;пропало обоняние;65.02142751588592
Калининградская область;12.08.2021;вызвать скорую;22.183501927947987
Калининградская область;01.05.2021;доставка еды на дом;59.85335926978902
Калининградская область;19.02.2021;что делать если не едет скорая;0
Калининградская область;11.09.2021;купить антисептик;0
Калининградская область;29.12.2020;вызвать скорую;15.913087263960609
Калининградская область;13.06.2020;симптомы коронавируса;230.87210121200593
Калининградская область;05.06.2021;симптомы коронавируса;95.14543092385081
Калининградская область;28.09.2021;вызвать скорую;22.67546009380663
Калининградская область;02.02.2021;что делать если не едет скорая;0.9592178920994977
Калининградская область;05.11.2021;антитела;275.33089194612154
Калининградская область;21.07.2022;антитела;48.93459597640178
Калининградская область;12.04.2020;сделать КТ;7.461644482486987
Калининградская область;22.01.2021;пульсоксиметр и сатурация;122.7013166795136
Калининградская область;05.11.2021;симптомы коронавируса;183.55392796408103
Калининградская область;12.12.2020;вызвать скорую;28.767938247894474
Калининградская область;19.07.2020;пропало обоняние;37.562748571488676
Калининградская область;10.09.2020;как не заразиться;0
Калининградская область;05.05.2021;доставка еды на дом;50.57091905991323
Калининградская область;06.07.2020;симптомы коронавируса;156.00698339656975
Калининградская область;05.05.2020;пульсоксиметр и сатурация;59.726452845965476
Калининградская область;07.09.2021;купить антисептик;1.8619546800230882
Калининградская область;18.12.2020;симптомы коронавируса;410.5192964907894
Калининградская область;05.10.2021;купить маску и респиратор;6.211428140431517
Калининградская область;13.03.2022;сдать тест;42.872109816909294
Калининградская область;02.07.2021;сдать тест;801.8797739557838
Калининградская область;23.08.2020;вызвать скорую;19.891102842305987
Калининградская область;07.08.2020;как не заразиться;0
Калининградская область;21.10.2020;пропало обоняние;170.1524424930051
Калининградская область;06.04.2021;вызвать скорую;10.113584750920795
Калининградская область;25.12.2021;симптомы коронавируса;100.38281404397394
Калининградская область;05.04.2021;доставка еды на дом;52.4057870445666
Калининградская область;18.11.2021;что делать если не едет скорая;0
Калининградская область;26.06.2022;пульсоксиметр и сатурация;8.05652457642822
Калининградская область;03.04.2022;симптомы коронавируса;8.778151531963006
Калининградская область;19.11.2020;сделать КТ;39.719414665146864
Калининградская область;11.10.2021;купить антисептик;0.8386194311476675
Калининградская область;10.09.2021;доставка еды на дом;94.88421065519078
Калининградская область;08.08.2021;пульсоксиметр и сатурация;81.59235221456103
Калининградская область;16.10.2020;сдать тест;370.59730964542024
Калининградская область;04.03.2020;купить маску и респиратор;42.00230672127723
Калининградская область;11.06.2022;вызвать скорую;22.792097003164848
Калининградская область;02.05.2021;купить антисептик;1.9954941741547585
Калининградская область;13.06.2020;вызвать скорую;21.780386906793012
Калининградская область;25.11.2020;купить маску и респиратор;11.148147735253788
Калининградская область;03.03.2022;что делать если не едет скорая;0
Калининградская область;12.04.2022;сделать КТ;3.227740492892112
Калининградская область;28.07.2021;сделать КТ;13.514159720735089
Калининградская область;02.05.2020;антитела;41.692366740772805
Калининградская область;24.11.2020;пропало обоняние;248.21549485226612
Калининградская область;16.01.2021;как не заразиться;0
Калининградская область;29.04.2022;купить маску и респиратор;1.8253271442574295
Калининградская область;19.02.2021;антитела;224.11995061284694
Калининградская область;09.11.2020;что делать если не едет скорая;6.064330417064217
Калининградская область;11.08.2021;доставка еды на дом;86.12177031128127
Калининградская область;05.06.2021;купить антисептик;1.1326837014744142
Калининградская область;18.12.2021;вызвать скорую;28.401300583695694
Калининградская область;13.12.2020;как не заразиться;2.145816837366396
Калининградская область;26.02.2021;пропало обоняние;33.497821594789414
Калининградская область;08.03.2020;лечение коронавируса;60.68671962876663
Калининградская область;01.05.2021;лечение коронавируса;44.89001945234176
Калининградская область;10.10.2021;доставка еды на дом;100.88839996818135
Калининградская область;22.04.2022;антитела;44.23081262834834
Калининградская область;11.08.2021;антитела;221.17636466306325
Калининградская область;24.05.2020;сделать КТ;11.20501187731259
Калининградская область;31.01.2021;пульсоксиметр и сатурация;96.45031060179694
Калининградская область;04.08.2021;лечение коронавируса;99.77288810624887
Калининградская область;06.04.2021;купить антисептик;0
Калининградская область;14.10.2021;купить маску и респиратор;8.496718142617414
Калининградская область;11.10.2020;лечение коронавируса;90.33550842466605
Калининградская область;24.11.2020;что делать если не едет скорая;0.9125569663686256
Калининградская область;26.05.2020;пульсоксиметр и сатурация;28.245619386889285
Калининградская область;03.02.2022;вызвать скорую;34.64605121631262
Калининградская область;25.10.2020;пропало обоняние;273.451967642671
Калининградская область;10.01.2021;как не заразиться;0
Калининградская область;18.01.2021;лечение коронавируса;118.2344686426683
Калининградская область;06.09.2021;доставка еды на дом;103.26188405279065
Калининградская область;17.12.2021;сдать тест;269.5349384663987
Калининградская область;03.08.2022;лечение коронавируса;45.9429943155116
Калининградская область;03.04.2021;сдать тест;133.662588843852
Калининградская область;20.03.2022;что делать если не едет скорая;0
Калининградская область;06.05.2021;купить антисептик;1.710751302095585
Калининградская область;25.01.2022;лечение коронавируса;399.5178020659235
Калининградская область;25.04.2022;вызвать скорую;19.4972972846504
Калининградская область;19.06.2022;пульсоксиметр и сатурация;11.048924638298384
Калининградская область;11.12.2020;как не заразиться;1.059537533057571
Калининградская область;31.01.2021;пропало обоняние;61.47382433960684
Калининградская область;09.07.2022;лечение коронавируса;16.22357711623889
Калининградская область;31.12.2020;сделать КТ;32.2102686336404
Калининградская область;03.03.2021;купить антисептик;1.9486169204253052
Калининградская область;03.07.2020;антитела;57.7190653441223
Калининградская область;08.08.2022;антитела;32.90945364080844
Калининградская область;19.05.2022;симптомы коронавируса;9.630832673037608
Калининградская область;09.11.2021;доставка еды на дом;54.9826262645036
Калининградская область;11.12.2021;симптомы коронавируса;146.0148175836884
Калининградская область;28.11.2020;пропало обоняние;287.014495961049
Калининградская область;13.02.2021;как не заразиться;0
Калининградская область;11.03.2021;что делать если не едет скорая;0
Калининградская область;17.01.2022;вызвать скорую;27.14173491520534
Калининградская область;22.02.2022;купить маску и респиратор;5.885166941167668
Калининградская область;24.03.2020;сдать тест;95.8697954406109
Калининградская область;25.10.2020;симптомы коронавируса;490.36745252377705
Калининградская область;09.06.2021;купить антисептик;0
Калининградская область;06.11.2020;сдать тест;526.5366858712656
Калининградская область;28.07.2020;симптомы коронавируса;302.4300434728126
Калининградская область;20.09.2020;купить маску и респиратор;15.628324775823703
Калининградская область;07.08.2021;доставка еды на дом;93.26338579398784
Калининградская область;08.05.2022;вызвать скорую;21.815688596627915
Калининградская область;07.11.2020;как не заразиться;3.504427259771511
Калининградская область;28.12.2020;пропало обоняние;253.46428988310623
Калининградская область;24.09.2021;симптомы коронавируса;198.2874665564449
Калининградская область;21.06.2021;сделать КТ;9.27698861527957
Калининградская область;03.06.2021;пульсоксиметр и сатурация;34.766005987270006
Калининградская область;02.03.2022;сделать КТ;7.201019664384477
Калининградская область;07.03.2020;вызвать скорую;23.07299753526097
Калининградская область;15.06.2021;симптомы коронавируса;150.39869081520567
Калининградская область;28.04.2020;симптомы коронавируса;335.4295431593506
Калининградская область;02.04.2021;купить антисептик;0
Калининградская область;18.06.2022;сдать тест;25.41492405004097
Калининградская область;07.10.2021;сдать тест;347.28479277507665
Калининградская область;25.05.2022;вызвать скорую;14.157087037771108
Калининградская область;14.10.2021;доставка еды на дом;86.66652505469763
Калининградская область;07.12.2021;пульсоксиметр и сатурация;71.09533393968664
Калининградская область;27.05.2020;вызвать скорую;13.838627761671153
