"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Бруней;30.11.2020;150;145;3;0;0;0
Чехия;13.06.2020;9991;7219;328;53;4;-1
Бельгия;02.03.2020;8;1;0;6;0;0
ОАЭ;12.04.2020;4123;680;22;387;92;2
Иордания;15.02.2020;0;0;0;0;0;0
Хорватия;15.07.2020;3953;2629;120;126;71;0
Казахстан;25.10.2020;147297;134117;2219;315;57;41
Лесото;05.06.2020;4;2;0;0;0;0
Судно "Diamond Princess";29.07.2020;712;651;13;0;0;0
Того;25.01.2020;0;0;0;0;0;0
Болгария;31.08.2020;16266;11483;629;76;170;16
Западный берег реки Иордан;28.06.2020;1990;447;4;175;1;0
Antarctica;03.06.2020;0;0;0;0;0;0
Коморские острова;10.12.2020;617;605;7;0;0;0
Россия;14.07.2020;738787;511958;11597;6240;8790;175
Нигер;08.02.2020;0;0;0;0;0;0
Лаос;26.05.2020;19;14;0;0;0;0
Summer Olympics 2020;25.04.2020;0;0;0;0;0;0
Новая Зеландия;29.01.2020;0;0;0;0;0;0
Барбадос;05.12.2020;285;260;7;1;3;0
Испания;10.12.2020;1720056;150376;47344;7955;0;325
Монголия;28.03.2020;12;0;0;1;0;0
Словакия;19.12.2020;204973;106361;1510;6522;1801;70
Эквадор;18.02.2020;0;0;0;0;0;0
Португалия;18.11.2020;236015;153702;3632;5891;4257;79
Вануату;21.06.2020;0;0;0;0;0;0
Либерия;01.07.2020;780;335;36;10;11;0
Сейшельские острова;01.06.2020;11;11;0;0;0;0
Малави;02.09.2020;5579;3500;175;3;80;0
Нигерия;29.03.2020;111;3;1;22;0;0
Камбоджа;07.12.2020;350;307;0;2;1;0
Ямайка;23.06.2020;670;518;10;5;2;0
Гамбия;18.02.2020;0;0;0;0;0;0
Эсватини;20.09.2020;5269;4624;104;24;53;0
Парагвай;20.03.2020;18;0;1;5;0;1
Кипр;29.10.2020;3817;1882;25;0;0;0
Сент-Люсия;02.02.2020;0;0;0;0;0;0
Украина;25.08.2020;110949;54657;2362;1715;395;27
Бутан;14.12.2020;438;404;0;0;1;0
Германия;12.07.2020;198804;184414;9063;248;148;3
Гондурас;07.03.2020;0;0;0;0;0;0
Тонга;06.10.2020;0;0;0;0;0;0
Бахрейн;06.10.2020;73476;68606;262;360;673;1
Камерун;02.05.2020;2077;953;64;245;19;3
Гренада;23.03.2020;1;0;0;0;0;0
Маврикий;14.11.2020;470;428;10;0;0;0
Джибути;22.02.2020;0;0;0;0;0;0
Судан;20.03.2020;1;0;1;0;0;0
Таиланд;20.12.2020;4907;4053;60;576;12;0
Колумбия;22.01.2020;0;0;0;0;0;0
Франция;24.12.2020;2584322;194559;62388;21718;1367;291
Мексика;09.03.2020;7;1;0;0;0;0
Казахстан;17.05.2020;6157;3256;34;307;276;0
Мали;08.04.2020;59;16;7;3;4;2
Гвинея;21.10.2020;11599;10461;70;61;14;0
Новая Зеландия;03.08.2020;1567;1523;23;0;5;0
Япония;05.03.2020;365;43;7;32;0;0
Барбадос;09.06.2020;92;81;7;0;0;0
Испания;04.06.2020;240660;150376;27133;334;0;5
Нигер;24.07.2020;1124;1024;69;0;2;0
Лаос;19.12.2020;41;36;0;0;0;0
Antarctica;11.12.2020;0;0;0;0;0;0
Коморские острова;04.06.2020;132;55;2;0;28;0
Египет;09.11.2020;109422;100439;6380;221;97;12
Судно "Diamond Princess";03.02.2020;0;0;0;0;0;0
Греция;15.09.2020;13730;8846;313;310;1584;3
Того;07.08.2020;1028;710;22;16;13;0
Польша;17.06.2020;30701;14921;1286;506;267;14
Ангола;03.12.2020;15361;8244;352;42;105;1
Индия;19.10.2020;7597063;6733328;115197;46790;69720;587
Сьерра-Леоне;30.10.2020;2365;1798;74;3;3;0
Сомали;25.08.2020;3275;2443;95;6;0;2
Панама;16.05.2020;9449;6080;269;181;0;3
Micronesia;25.11.2020;0;0;0;0;0;0
Австралия;06.09.2020;26321;19473;762;43;137;9
Венесуэла;09.06.2020;2632;487;23;159;0;1
Мадагаскар;13.11.2020;17223;16516;249;0;0;0
Канада;18.07.2020;110773;98436;8896;384;155;4
Замбия;20.11.2020;17373;16606;356;23;15;0
Танзания;24.12.2020;509;183;21;0;0;0
Мальдивы;04.10.2020;10530;9364;34;65;54;0
Черногория;02.11.2020;19210;14456;320;496;240;7
Швеция;15.06.2020;52511;0;4891;684;0;17
Чехия;01.12.2020;528474;455177;8407;5176;3570;112
Мальта;07.04.2020;293;5;0;52;0;0
Великобритания;23.08.2020;327637;1547;41515;1050;0;6
Казахстан;20.11.2020;165558;141764;2365;980;467;0
Хорватия;19.06.2020;2280;2142;107;11;0;0
Коморские острова;16.12.2020;633;606;7;0;0;0
Antarctica;28.05.2020;0;0;0;0;0;0
